IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
104.26.4.177,4,4,0.00,149.45,0.00
162.159.140.159,4,4,0.00,151.22,0.00
104.26.3.97,4,4,0.00,153.89,0.00
104.20.27.111,4,4,0.00,154.03,0.00
162.159.138.201,4,4,0.00,155.42,0.00
162.159.129.45,4,4,0.00,156.26,0.00
162.159.136.13,4,4,0.00,159.37,0.00
162.159.142.108,4,4,0.00,159.79,0.00
104.26.9.24,4,4,0.00,160.25,0.00
104.26.8.172,4,4,0.00,161.20,0.00
8.222.131.102     4       4       0.00    110.95    18.71
8.222.180.86      4       4       0.00    111.00    18.56
8.218.207.169     4       4       0.00    89.09     17.54
47.242.155.183    4       4       0.00    91.02     15.28
8.218.204.128     4       4       0.00    83.49     3.20